Unfurnished,Semi-Furnished,Furnished,Area_sqft,Price,BHK
1,0,0,1066,132,3
1,0,0,1067,74,2
1,0,0,1068,80.5,2
1,0,0,1070,73,2
0,1,0,1070,135,3
0,0,1,1070,165,3
1,0,0,1080,115,3
1,0,0,1080,120,3
1,0,0,1080,120,3
1,0,0,1080,130,3
1,0,0,1080,129,3
1,0,0,1080,126,3
1,0,0,1080,138,3
1,0,0,1080,75,2
1,0,0,1080,74,2
1,0,0,1080,74,2
1,0,0,1080,115,3
1,0,0,1080,110,3
1,0,0,1080,125,3
0,1,0,1084,119,3
1,0,0,1085,140,3
1,0,0,1085,115,3
1,0,0,1086,150,3
1,0,0,1100,119,3
1,0,0,1100,135,3
1,0,0,1100,127,3
1,0,0,1100,125,3
0,1,0,1100,142,3
0,1,0,1100,149,3
0,1,0,1100,140,3
0,1,0,1100,140,3
0,1,0,1100,140,3
0,0,1,1104,90,2
1,0,0,1108,147,3
1,0,0,1108,155,3
1,0,0,1113,90,2
1,0,0,1120,131,3
1,0,0,1120,150,3
1,0,0,1120,133,3
0,1,0,1120,135,3
0,1,0,1121,159,3
1,0,0,1127,85,2
1,0,0,1127,130,3
1,0,0,1129,135,3
1,0,0,1131,123,3
0,1,0,1131,135,3
1,0,0,1134,150,3
1,0,0,1138,145,3
1,0,0,1138,135,3
1,0,0,1138,139,3
1,0,0,1145,109,3
1,0,0,1146,111,3
1,0,0,1150,130,2
1,0,0,1150,107,2
1,0,0,1150,74,2
1,0,0,1150,73,2
1,0,0,1150,74,2
0,1,0,1150,160,3
0,1,0,1150,140,3
0,0,1,1152,89,2
1,0,0,1160,130,3
1,0,0,1170,119,2
1,0,0,1170,142,3
1,0,0,1171,125,2
0,1,0,1180,157,3
0,1,0,1181,180,3
0,1,0,1181,170,3
0,1,0,1187,170,3
0,1,0,1187,168,3
0,1,0,1187,175,3
1,0,0,1189,128,3
0,1,0,1190,155,3
1,0,0,1197,95,2
1,0,0,1200,125,3
1,0,0,1200,80,2
1,0,0,1200,128,3
0,1,0,1200,175,3
0,1,0,1200,165,3
0,1,0,1220,180,3
1,0,0,1222,109,3
1,0,0,1227,148,3
1,0,0,1229,151,3
1,0,0,1229,153,3
1,0,0,1240,144,3
1,0,0,1245,122,3
0,1,0,1247,160,3
1,0,0,1250,150,3
1,0,0,1250,175,3
1,0,0,1250,71,2
1,0,0,1250,71.5,2
1,0,0,1250,71,2
1,0,0,1250,71.5,2
1,0,0,1250,71.5,2
1,0,0,1250,70,2
1,0,0,1250,131,3
0,1,0,1250,97,2
0,1,0,1250,90,2
0,1,0,1250,170,3
1,0,0,1254,135,3
1,0,0,1260,80,2
1,0,0,1260,80,2
1,0,0,1260,81,2
1,0,0,1260,81,2
1,0,0,1260,79,2
1,0,0,1260,140,3
1,0,0,1267,168,3
1,0,0,1299,156,3
1,0,0,1300,145,3
1,0,0,1300,160,3
1,0,0,1300,160,3
1,0,0,1300,155,3
0,1,0,1300,155,3
0,1,0,1300,175,3
0,1,0,1300,160,3
1,0,0,1334,175,3
1,0,0,1349,145,3
1,0,0,1350,150,3
1,0,0,1350,170,3
0,1,0,1350,91,2
0,1,0,1350,175,3
1,0,0,1351,180,3
1,0,0,1355,195,3
0,1,0,1380,90,2
1,0,0,1400,165,3
1,0,0,1400,195,4
1,0,0,1400,170,3
1,0,0,1400,160,3
1,0,0,1400,90,2
1,0,0,1400,173,3
1,0,0,1400,165,3
0,1,0,1400,210,3
0,1,0,1400,280,3
0,1,0,1400,210,3
0,0,1,1400,140,3
1,0,0,1402,145,3
1,0,0,1417,190,3
1,0,0,1417,175,3
1,0,0,1417,179,3
1,0,0,1417,176,3
1,0,0,1419,109,2
1,0,0,1440,165,3
1,0,0,1449,192,3
0,1,0,1450,215,3
1,0,0,1470,178,3
1,0,0,1470,174,3
1,0,0,1490,145,3
0,1,0,1500,240,3
1,0,0,1507,180,4
1,0,0,1510,162,3
1,0,0,1512,120,3
1,0,0,1513,177,4
0,1,0,1519,235,3
0,1,0,1520,175,4
1,0,0,1524,170,3
1,0,0,1550,153,3
1,0,0,1550,140,2
0,1,0,1550,220,3
0,1,0,1550,182,4
0,0,1,1550,300,3
0,0,1,1550,281,3
1,0,0,1555,178,3
1,0,0,1557,170,3
1,0,0,1560,175,3
0,1,0,1560,225,3
0,0,1,1560,300,3
0,1,0,1565,215,3
0,1,0,1566,202,4
0,1,0,1567,206,4
0,1,0,1567,202,4
0,1,0,1586,219,3
1,0,0,1600,210,4
1,0,0,1600,140,3
1,0,0,1600,198,4
0,1,0,1600,220,3
1,0,0,1615,270,4
1,0,0,1650,222,2
0,1,0,1650,250,3
0,1,0,1650,200,4
0,1,0,1661,310,3
0,1,0,1661,290,3
0,1,0,1661,300,3
0,1,0,1661,320,3
0,1,0,1661,278,3
0,1,0,1661,330,3
0,1,0,1661,290,3
1,0,0,1672,200,4
1,0,0,1673,176,4
1,0,0,1700,151,3
0,1,0,1700,336,3
0,1,0,1700,320,3
0,1,0,1700,220,3
0,1,0,1700,270,3
0,1,0,1705,325,3
0,1,0,1706,260,3
0,1,0,1706,306,3
0,1,0,1706,300,3
1,0,0,1717,199,4
1,0,0,1750,190,3
1,0,0,1750,205,3
0,1,0,1751,251,3
0,1,0,1786,236,3
1,0,0,1793,212,4
1,0,0,1793,216,4
1,0,0,1800,222,3
1,0,0,1800,220,3
1,0,0,1800,255,3
1,0,0,1800,250,3
1,0,0,1800,280,3
1,0,0,1800,260,3
0,1,0,1800,210,3
0,1,0,1800,200,4
0,1,0,1831,198,4
1,0,0,1850,200,3
0,1,0,1850,215,4
0,0,1,1850,280,3
0,0,1,1850,280,3
0,0,1,1850,280,3
0,0,1,1880,250,3
1,0,0,1885,275,4
1,0,0,1900,220,3
0,1,0,1900,240,3
1,0,0,1902,275,4
1,0,0,1905,249,4
1,0,0,1923,252,4
1,0,0,1930,259,3
0,1,0,1930,258,3
1,0,0,1958,294,4
0,1,0,1991,240,3
1,0,0,1995,200,4
1,0,0,2000,255,3
1,0,0,2000,207,4
0,1,0,2000,235,3
0,1,0,2000,251,3
0,1,0,2050,275,3
0,0,1,2052,300,4
1,0,0,2100,260,4
1,0,0,2100,330,3
0,1,0,2100,305,3
0,0,1,2100,270,4
0,1,0,2103,335,3
0,1,0,2103,335,3
1,0,0,2110,350,3
1,0,0,2150,335,3
1,0,0,2200,330,3
1,0,0,2200,320,3
1,0,0,2200,275,3
1,0,0,2200,325,3
1,0,0,2200,320,3
0,1,0,2200,311,3
0,1,0,2200,340,3
0,1,0,2200,340,3
0,1,0,2200,340,3
0,1,0,2200,310,3
0,1,0,2200,340,3
0,1,0,2200,292,3
0,0,1,2200,295,3
0,0,1,2200,265,4
0,0,1,2300,330,5
0,0,1,2300,315,4
1,0,0,2310,250,3
0,1,0,2320,299,4
1,0,0,2345,245,3
1,0,0,2345,245,3
1,0,0,2355,235,3
0,1,0,2400,260,3
0,0,1,2400,310,4
0,1,0,2453,321,4
0,1,0,2456,321,4
1,0,0,2500,410,4
1,0,0,2500,225,4
1,0,0,2500,225,4
0,1,0,2500,250,3
0,1,0,2512,235,3
0,1,0,2522,410,4
0,1,0,2560,398,4
1,0,0,2600,220,3
1,0,0,2600,410,4
1,0,0,2600,245,3
1,0,0,2600,222,3
1,0,0,2650,410,4
1,0,0,2650,425,4
1,0,0,2650,420,4
1,0,0,2650,410,4
1,0,0,2650,435,4
1,0,0,2650,415,4
1,0,0,2650,400,4
0,1,0,2650,405,4
0,1,0,2650,380,4
0,1,0,2680,410,4
