Unfurnished,Semi-Furnished,Furnished,Area_sqft,Price,BHK
1,0,0,1482,72,3
0,1,0,1950,185,3
1,0,0,1485,125,3
1,0,0,1485,140,3
0,1,0,5300,850,5
1,0,0,1524,200,3
1,0,0,1035,60,2
0,1,0,1998,210,3
1,0,0,1525,180,3
1,0,0,1047,130,2
0,1,0,4500,720,4
1,0,0,1047,132,2
1,0,0,1530,230,3
0,0,1,4000,820,4
0,1,0,1145,85,2
1,0,0,650,53,1
1,0,0,5626,845,4
1,0,0,1550,230,3
0,1,0,2000,210,3
1,0,0,1550,240,3
1,0,0,1600,230,3
1,0,0,1050,120,2
1,0,0,5799,900,4
1,0,0,1050,75.5,2
1,0,0,5800,700,4
0,1,0,2000,290,3
1,0,0,1660,270,3
0,1,0,2000,215,3
1,0,0,5800,700,4
0,1,0,1200,67.8,2
0,1,0,4750,600,4
1,0,0,1685,200,3
1,0,0,655,30,1
0,0,1,1456,160,2
1,0,0,1700,235,3
1,0,0,1050,63,2
1,0,0,1050,130,2
1,0,0,666,34.4,1
0,0,1,2200,275,3
1,0,0,688,30,1
1,0,0,1700,255,3
1,0,0,1050,131,2
1,0,0,1722,200,3
0,1,0,4750,615,4
1,0,0,1063,200,2
0,1,0,2023,215,3
0,0,1,5300,875,4
0,1,0,2100,255,3
1,0,0,1065,75.2,2
0,0,1,1500,210,2
0,1,0,4950,695,4
0,1,0,1200,110,2
0,1,0,2310,360,3
1,0,0,695,48,1
0,1,0,900,40,1
0,1,0,2400,370,3
0,1,0,2520,360,3
0,1,0,1239,144,2
0,1,0,5100,850,4
1,0,0,700,44,1
0,1,0,6900,870,5
1,0,0,1085,78,2
1,0,0,1085,66,2
1,0,0,1800,230,3
1,0,0,1088,77.1,2
0,1,0,1250,110,2
1,0,0,700,45,1
1,0,0,1090,155,2
1,0,0,1800,210,3
1,0,0,1093,62.6,2
1,0,0,1100,110,2
1,0,0,1100,75,2
1,0,0,1800,250,3
0,1,0,2650,280,3
0,1,0,5626,850,4
0,1,0,1456,160,2
1,0,0,1105,95,2
1,0,0,1820,260,3
1,0,0,1860,225,3
0,1,0,2700,275,3
1,0,0,1198,104,2
0,1,0,2700,280,3
1,0,0,2000,210,3
1,0,0,1200,155,2
1,0,0,2000,185,3
1,0,0,2000,210,3
1,0,0,2100,280,3
0,1,0,2700,275,3
1,0,0,2511,235,3
1,0,0,1200,80,2
1,0,0,1200,150,2
1,0,0,1240,110,2
1,0,0,1250,105,2
1,0,0,2520,360,3
1,0,0,2629,285,3
1,0,0,1250,96,2
1,0,0,1250,155,2
1,0,0,760,40,1
0,0,1,2500,425,2
1,0,0,2650,270,3
